,file,line,gs_score
0,12-1036,0,-1.8155913352966309
1,12-1036,2,-0.9650722742080688
2,12-1036,4,-1.0921822786331177
3,12-1036,6,-0.6868139505386353
4,12-1036,8,-0.2547004222869873
5,12-1036,10,-1.4287246465682983
6,12-1036,12,-1.4016058444976807
7,12-1036,14,-1.26820707321167
8,12-1036,16,-1.610911250114441
9,12-1036,18,0.4384317994117737
10,12-1036,20,0.6018654108047485
11,12-1036,22,-0.8301284909248352
12,12-1036,24,-1.061945915222168
13,12-1036,26,-0.4042011797428131
14,12-1036,28,-1.6301827430725098
15,12-1036,30,0.5988638997077942
16,12-1036,32,-1.4213831424713135
17,12-1036,34,0.28882575035095215
18,12-1036,36,-0.8156141638755798
19,12-1036,38,-1.7926334142684937
20,12-1036,40,-0.7258835434913635
21,12-1036,42,-1.1911267042160034
22,12-1036,44,-0.43052831292152405
23,12-1036,46,-1.585972547531128
24,12-1036,48,-0.13365234434604645
25,12-1036,50,-0.3343404531478882
26,12-1036,52,0.6137120723724365
27,12-1036,54,-0.44807153940200806
28,12-1036,56,-0.1801857352256775
29,12-1036,58,-0.7419508695602417
30,12-1036,60,-0.509680986404419
31,12-1036,62,-0.5272234082221985
32,12-1036,64,0.3718966543674469
33,12-1036,66,-1.153394341468811
34,12-1036,68,-1.482434630393982
35,12-1036,70,0.18709097802639008
36,12-1036,72,-1.7109801769256592
37,12-1036,74,-1.2822498083114624
38,12-1036,76,-1.561511754989624
39,12-1036,78,-0.04226679727435112
40,12-1036,80,-1.4306164979934692
41,12-1036,82,-1.432063102722168
42,12-1036,84,-1.5926108360290527
43,12-1036,86,-1.2759181261062622
44,12-1036,88,-0.25647324323654175
45,12-1036,90,-0.585530161857605
46,12-1036,92,-0.7928770184516907
47,12-1036,94,-0.1537112444639206
48,12-1036,96,-0.9527387022972107
49,12-1036,98,0.9483524560928345
50,12-1036,100,-0.6407426595687866
51,12-1036,102,0.18719549477100372
52,12-1036,104,-0.5642397403717041
53,12-1036,106,-1.2792645692825317
54,12-1036,108,-1.1235123872756958
55,12-1036,110,0.6810503005981445
56,12-1036,112,-0.3686094582080841
57,12-1036,114,-1.2476643323898315
58,12-1036,116,-1.1267483234405518
59,12-1036,118,0.027824265882372856
60,12-1036,120,0.01252824068069458
61,12-1036,122,0.10860579460859299
62,12-1036,124,-0.12647663056850433
63,12-1036,126,-0.3848150372505188
64,12-1036,128,-1.1260312795639038
65,12-1036,130,-0.16889773309230804
66,12-1036,132,-0.22841106355190277
67,12-1036,134,1.3743624687194824
68,12-1036,136,-0.5567171573638916
69,12-1036,138,0.7858876585960388
70,12-1036,140,0.3858492970466614
71,12-1036,142,-0.01811188831925392
72,12-1036,144,0.7433851957321167
73,12-1036,146,0.6825878024101257
74,12-1036,148,-0.18396882712841034
75,12-1036,150,-0.14708349108695984
76,12-1036,152,-1.4492073059082031
77,12-1036,154,0.7231913805007935
78,12-1036,156,0.8236489295959473
79,12-1036,158,-1.2289127111434937
80,12-1036,160,-0.2939988970756531
81,12-1036,162,-1.3251190185546875
82,12-1036,164,-0.5387517809867859
83,12-1036,166,-0.04230691120028496
84,12-1036,168,-0.06266084313392639
85,12-1036,169,0.34350982308387756
86,12-1036,171,0.11972235888242722
87,12-1036,173,-0.9005698561668396
88,12-1036,175,-0.4414910674095154
89,12-1036,177,1.2107329368591309
90,12-1036,179,-0.05212683975696564
91,12-1036,181,-0.55063796043396
92,12-1036,183,0.720505952835083
93,12-1036,185,-1.054781436920166
94,12-1036,187,-0.5488378405570984
95,12-1036,189,-1.6352988481521606
96,12-1036,191,-1.1941165924072266
97,12-1036,193,-0.08672469854354858
98,12-1036,194,-0.37928885221481323
99,12-1036,196,-0.5087869167327881
100,12-1036,198,-0.6951072812080383
101,12-1036,200,0.11556058377027512
102,12-1036,202,0.17226852476596832
103,12-1036,204,-0.31987276673316956
104,12-1036,206,-0.07649775594472885
105,12-1036,208,-1.7141748666763306
106,12-1038,0,-1.5736644268035889
107,12-1038,2,-0.46888861060142517
108,12-1038,4,-1.3162740468978882
109,12-1038,6,-1.818587303161621
110,12-1038,8,-0.5020060539245605
111,12-1038,10,-0.08655321598052979
112,12-1038,12,0.8870549201965332
113,12-1038,14,0.3528241515159607
114,12-1038,16,-1.1491488218307495
115,12-1038,18,-0.5539712309837341
116,12-1038,20,-0.13825280964374542
117,12-1038,22,0.2929362952709198
118,12-1038,24,-1.5894464254379272
119,12-1038,26,0.0700838640332222
120,12-1038,28,0.44502368569374084
121,12-1038,30,-0.12197937816381454
122,12-1038,32,-1.2160840034484863
123,12-1038,34,0.5958955883979797
124,12-1038,36,0.9277258515357971
125,12-1038,38,0.16108840703964233
126,12-1038,40,-1.019491195678711
127,12-1038,42,-1.037180781364441
128,12-1038,44,-1.1632500886917114
129,12-1038,46,-0.20211710035800934
130,12-1038,48,-0.7979106307029724
131,12-1038,50,-0.9913221001625061
132,12-1038,52,-1.5069549083709717
133,12-1038,54,-0.4896787703037262
134,12-1038,56,-0.6768495440483093
135,12-1038,58,-0.788831889629364
136,12-1038,60,-0.4395163953304291
137,12-1038,62,-1.6242605447769165
138,12-1038,64,-0.0042579020373523235
139,12-1038,66,-0.6642488837242126
140,12-1038,68,-0.5087869167327881
141,12-1038,70,-0.23330342769622803
142,12-1038,72,-1.522984266281128
143,12-1038,74,-1.6108185052871704
144,12-1038,76,-1.615512728691101
145,12-1038,78,0.9277653098106384
146,12-1038,79,-0.6861622333526611
147,12-1038,80,-0.2919090986251831
148,12-1038,82,-0.14027844369411469
149,12-1038,84,-0.6037919521331787
150,12-1038,86,0.7626647353172302
151,12-1038,88,-0.4202561378479004
152,12-1038,90,-0.05231524631381035
153,12-1038,92,0.08908548951148987
154,12-1038,94,-0.20552437007427216
155,12-1038,96,0.5490949153900146
156,12-1038,98,0.16803579032421112
157,12-1038,99,-0.283946692943573
158,12-1038,101,0.4752669930458069
159,12-1038,103,-0.5309788584709167
160,12-1038,105,0.4594697952270508
161,12-1038,107,0.12421461194753647
162,12-1038,109,0.2999322712421417
163,12-1038,111,0.017834430560469627
164,12-1038,113,-0.35154029726982117
165,12-1038,115,-0.31455498933792114
166,12-1038,117,0.3641742765903473
167,12-1038,119,-0.9678826928138733
168,12-1038,120,-0.6842688322067261
169,12-1038,122,0.0810500904917717
170,12-1038,124,-0.7860713601112366
171,12-1038,126,-0.9392494559288025
172,12-1038,128,0.7309430837631226
173,12-1038,130,-0.6251407265663147
174,12-1038,131,0.5305382013320923
175,12-1038,133,-0.38409820199012756
176,12-1038,135,-0.8100417852401733
177,12-1038,137,-0.49027323722839355
178,12-1038,139,-0.4114864766597748
179,12-1038,141,-1.3210086822509766
180,12-1038,143,0.6569090485572815
181,12-1038,145,-1.7469573020935059
182,12-1038,147,0.060442715883255005
183,12-1038,149,-1.1664047241210938
184,12-1038,151,-0.4863622486591339
185,12-1038,153,0.6087794303894043
186,12-1038,155,-1.7423025369644165
187,12-1038,157,-0.721196174621582
188,12-1038,159,-0.6809918880462646
189,12-1038,161,0.6738881468772888
190,12-1038,163,-0.2329939752817154
191,12-1038,165,0.42147988080978394
192,12-1038,167,0.11692076921463013
193,12-1038,169,-1.3208916187286377
194,12-1038,171,-0.39542287588119507
195,12-1038,173,-0.14702607691287994
196,12-1038,175,-0.07445931434631348
197,12-1038,177,-0.05506090074777603
198,12-1038,179,-0.28267377614974976
199,12-1038,181,1.164591908454895
200,12-1038,183,-0.5479667782783508
201,12-1038,185,0.7541614174842834
202,12-1038,187,-0.6122031211853027
203,12-1038,189,0.8168553709983826
204,12-1038,191,0.2034323662519455
205,12-1038,193,-0.21146048605442047
206,12-1038,195,-1.4430410861968994
207,12-1038,197,-1.148833990097046
208,12-1038,199,0.40272146463394165
209,12-1038,201,0.03008781000971794
210,12-1038,203,0.667690634727478
211,12-1038,205,0.6742464900016785
212,12-1038,207,0.5415228009223938
213,12-1038,209,-0.4903723895549774
214,12-1038,211,-0.5005326867103577
215,12-1038,213,0.7730926275253296
216,12-1038,215,-1.6647534370422363
217,12-1038,217,-1.9517048597335815
218,12-1038,219,-0.4410196840763092
219,12-1038,221,-1.5947917699813843
220,12-138,0,-1.7121528387069702
221,12-138,2,-1.238629698753357
